submitted_id	current_id	converted_id	current_symbol
CG4140	FBgn0261881	FBgn0261881	l(2)35Be
Tango2	FBgn0030503	FBgn0030503	Tango2
CG6353	FBgn0038893	FBgn0038893	CG6353
e(r)	FBgn0011586	FBgn0011586	e(r)
CG10874	FBgn0031395	FBgn0031395	CG10874
CG7564	FBgn0036734	FBgn0036734	CG7564
miple	FBgn0027111	FBgn0027111	miple
CG1129	FBgn0037279	FBgn0037279	CG1129
Npc1a	FBgn0024320	FBgn0024320	Npc1a
CG32442	FBgn0052442	FBgn0052442	CG32442
CG1140	FBgn0035298	FBgn0035298	SCOT
hpo	FBgn0261456	FBgn0261456	hpo
CG10376	FBgn0032702	FBgn0032702	CG10376
CG10069	FBgn0034611	FBgn0034611	MFS16
snoRNA:Psi28S-1837a	FBgn0086660	FBgn0086660	snoRNA:Psi28S-1837a
CG5077	FBgn0261550	FBgn0261550	CG42668
Hydr1	FBgn0033382	FBgn0033382	Hydr1
Eaf	FBgn0033166	FBgn0033166	Eaf
CG8436	FBgn0037670	FBgn0037670	CG8436
Nhe3	FBgn0028703	FBgn0028703	Nhe3
Mvl	FBgn0011672	FBgn0011672	Mvl
CG13897	FBgn0035160	FBgn0035160	hng3
CG8290	FBgn0026573	FBgn0026573	CG8290
CG3004	FBgn0264691	FBgn0264691	Lst8
CG7611	FBgn0037094	FBgn0037094	CG7611
CG9899	FBgn0034829	FBgn0034829	CG9899
CG5482	FBgn0034368	FBgn0034368	CG5482
CG42492	FBgn0259994	FBgn0259994	CG42492
CG11566	FBgn0031159	FBgn0031159	CG11566
ran	unknown ID	-	-
Sod2	FBgn0010213	FBgn0010213	Sod2
CG31108	FBgn0172658	FBgn0172658	Dsec\GM17750
CG31108	FBgn0189768	FBgn0189768	Dsim\GD18234
CG31108	FBgn0051108	FBgn0051108	CG31108
Gnf1	FBgn0004913	FBgn0004913	Gnf1
CHIP	FBgn0027052	FBgn0027052	CHIP
CG8445	FBgn0262166	FBgn0262166	calypso
CG34288	FBgn0085317	FBgn0085317	CG34288
CG6752	FBgn0038296	FBgn0038296	CG6752
cyc	FBgn0023094	FBgn0023094	cyc
CG3040	FBgn0029925	FBgn0029925	CG3040
CG3040	FBgn0068342	FBgn0068342	Dyak\GE17554
bsf	FBgn0032679	FBgn0032679	bsf
CG5384	FBgn0032216	FBgn0032216	CG5384
CG30085	FBgn0050085	FBgn0050085	Rif1
RhoBTB	FBgn0036980	FBgn0036980	RhoBTB
Sfp87B	FBgn0259975	FBgn0259975	Sfp87B
Sra-1	FBgn0038320	FBgn0038320	Sra-1
CG34112	FBgn0086608	FBgn0086608	CG34112
shf	FBgn0003390	FBgn0003390	shf
CG5903	FBgn0038400	FBgn0038400	CG5903
DIP1	FBgn0024807	FBgn0024807	DIP1
CG17778	FBgn0023534	FBgn0023534	CG17778
Unc-76	FBgn0040395	FBgn0040395	Unc-76
Ppat-Dpck	FBgn0035632	FBgn0035632	Ppat-Dpck
CG16995	FBgn0031412	FBgn0031412	CG16995
CG4289	FBgn0037020	FBgn0037020	Pex14
CG1492	FBgn0030361	FBgn0030361	CG1492
tna	FBgn0026160	FBgn0026160	tna
CG5541	FBgn0030603	FBgn0030603	CG5541
CG7029	FBgn0039026	FBgn0039026	CG7029
CG11790	FBgn0039265	FBgn0039265	CG11790
Eip63E	FBgn0005640	FBgn0005640	Eip63E
CG13766	FBgn0031834	FBgn0031834	CG13766
lack	FBgn0029006	FBgn0029006	lack
Vinc	FBgn0004397	FBgn0004397	Vinc
sec24	unknown ID	-	-
wash	FBgn0033692	FBgn0033692	wash
CG13674	FBgn0035858	FBgn0035858	CG13674
CG31517	FBgn0047199	FBgn0047199	CG31517
CG18769	FBgn0042185	FBgn0042185	CG18769
CG7262	FBgn0038274	FBgn0038274	Nup93-2
Cyp4e2	FBgn0014469	FBgn0014469	Cyp4e2
CG7289	FBgn0031379	FBgn0031379	CG7289
Su(var)2-HP2	FBgn0026427	FBgn0026427	Su(var)2-HP2
CG10359	FBgn0035452	FBgn0035452	CG10359
M6	FBgn0037092	FBgn0037092	M6
scu	FBgn0021765	FBgn0021765	scu
CG4281	FBgn0085099	FBgn0085099	Dmir\CG4281
CG4281	FBgn0025626	FBgn0025626	CG4281
CG12766	FBgn0035476	FBgn0035476	CG12766
CG14195	FBgn0030998	FBgn0030998	CG14195
CG3061	FBgn0038195	FBgn0038195	CG3061
p	FBgn0086679	FBgn0086679	p
CG3605	FBgn0031493	FBgn0031493	CG3605
CG12159	FBgn0033232	FBgn0033232	CG12159
CG3313	FBgn0037980	FBgn0037980	CG3313
Rcp	FBgn0030801	FBgn0030801	Rcp
CG2196	FBgn0039872	FBgn0039872	salt
Aats-phe	FBgn0020766	FBgn0020766	Aats-phe
CG8525	FBgn0033735	FBgn0033735	CG8525
CG17202	FBgn0038043	FBgn0038043	CG17202
CG17202	FBgn0068392	FBgn0068392	Dyak\GE26191
CG1888	FBgn0033421	FBgn0033421	CG1888
y	FBgn0004034	FBgn0004034	y
Sfp93F	FBgn0261060	FBgn0261060	Sfp93F
CG6488	FBgn0032361	FBgn0032361	CG6488
CG6488	FBgn0045601	FBgn0045601	Dsim\CG6488
CG6488	FBgn0068273	FBgn0068273	Dyak\GE12861
CG31922	FBgn0051922	FBgn0051922	CG31922
vri	FBgn0016076	FBgn0016076	vri
CG4338	FBgn0038313	FBgn0038313	CG4338
CG4338	FBgn0068313	FBgn0068313	Dyak\GE24288
Chmp1	FBgn0036805	FBgn0036805	Chmp1
CG15201	FBgn0030272	FBgn0030272	CG15201
e(y)1	FBgn0000617	FBgn0000617	e(y)1
CG7185	FBgn0035872	FBgn0035872	CG7185
CG7185	FBgn0064038	FBgn0064038	Drep\CG7185
Dlic	FBgn0030276	FBgn0030276	Dlic
CG15046	FBgn0030927	FBgn0030927	CG15046
Ts	FBgn0024920	FBgn0024920	Ts
CG5498	FBgn0027565	FBgn0027565	CG5498
snoRNA:Psi18S-841d	FBgn0083016	FBgn0083016	snoRNA:Psi18S-841d
RpL31	FBgn0025286	FBgn0025286	RpL31
CG8959	FBgn0030691	FBgn0030691	Efhc1.1
CG16717	FBgn0036028	FBgn0036028	CG16717
CG10932	FBgn0029969	FBgn0029969	CG10932
CG15098	FBgn0034398	FBgn0034398	CG15098
CG6479	FBgn0036710	FBgn0036710	CG6479
fru	FBgn0004652	FBgn0004652	fru
eRF1	FBgn0036974	FBgn0036974	eRF1
CG31019	FBgn0051019	FBgn0051019	CG31019
CG1910	FBgn0022349	FBgn0022349	CG1910
Prp38	FBgn0050342	FBgn0050342	Prp38
dpr16	FBgn0037295	FBgn0037295	dpr16
mRpL39	FBgn0036462	FBgn0036462	mRpL39
l(2)k07824	unknown ID	-	-
CtBP	FBgn0020496	FBgn0020496	CtBP
iHog	unknown ID	-	-
CG13659	FBgn0039319	FBgn0039319	CG13659
CG30106	FBgn0050106	FBgn0050106	CCHa1-R
jbug	FBgn0028371	FBgn0028371	jbug
Grip84	FBgn0026430	FBgn0026430	Grip84
Sin1	FBgn0033935	FBgn0033935	Sin1
CG11141	FBgn0033177	FBgn0033177	CG11141
Rtf1	FBgn0034722	FBgn0034722	Rtf1
CG8316	FBgn0030852	FBgn0030852	CG8316
Adh	FBgn0000055	FBgn0000055	Adh
nudC	FBgn0021768	FBgn0021768	nudC
Arp66B	unknown ID	-	-
CG8952	FBgn0030688	FBgn0030688	CG8952
CG4804	FBgn0032178	FBgn0032178	Spn31A
Uhg2	FBgn0063449	FBgn0063449	Uhg2
CG3328	FBgn0034985	FBgn0034985	CG3328
Strn-Mlck	FBgn0265045	FBgn0265045	Strn-Mlck
Mst36Fa	FBgn0086681	FBgn0086681	Mst36Fa
CG32104	FBgn0052104	FBgn0052104	CG32104
CG5646	FBgn0039525	FBgn0039525	CG5646
Sr-CI	FBgn0014033	FBgn0014033	Sr-CI
CG6115	FBgn0040985	FBgn0040985	CG6115
CG6115	FBgn0068281	FBgn0068281	Dyak\GE13153
CG14817	FBgn0026089	FBgn0026089	CG14817
CG9215	FBgn0030659	FBgn0030659	CG9215
CG8788	FBgn0028955	FBgn0028955	CG8788
CG5727	FBgn0032193	FBgn0032193	CG5727
Faa	FBgn0016013	FBgn0016013	Faa
CG42390	FBgn0259736	FBgn0259736	CG42390
U26	FBgn0027780	FBgn0027780	U26
CG2811	FBgn0035082	FBgn0035082	CG2811
Fsn	FBgn0043010	FBgn0043010	Fsn
CG9029	FBgn0045582	FBgn0045582	Dsim\CG9029
CG9029	FBgn0031746	FBgn0031746	CG9029
cbt	FBgn0043364	FBgn0043364	cbt
Cyp12b2	FBgn0034387	FBgn0034387	Cyp12b2
CG34301	FBgn0085330	FBgn0085330	CG34301
CG8121	FBgn0037680	FBgn0037680	CG8121
CG4091	FBgn0034894	FBgn0034894	CG4091
CG9754	FBgn0034617	FBgn0034617	CG9754
CG9505	FBgn0031805	FBgn0031805	CG9505
kar	FBgn0001296	FBgn0001296	kar
Gclm	FBgn0046114	FBgn0046114	Gclm
mRpL35	FBgn0038923	FBgn0038923	mRpL35
vis	FBgn0033748	FBgn0033748	vis
CG15332	FBgn0029986	FBgn0029986	CG15332
pcx	FBgn0003048	FBgn0003048	pcx
Fur2	FBgn0004598	FBgn0004598	Fur2
CG2187	FBgn0017448	FBgn0017448	CG2187
CG8818	FBgn0033751	FBgn0033751	CG8818
CG42837	FBgn0262026	FBgn0262026	CG42837
b	FBgn0000153	FBgn0000153	b
Tsp42Ea	FBgn0029508	FBgn0029508	Tsp42Ea
CG12077	FBgn0035435	FBgn0035435	PIG-C
Dhc98D	FBgn0013813	FBgn0013813	Dhc98D
Vha14	unknown ID	-	-
sofe	FBgn0030242	FBgn0030242	sofe
CG10465	FBgn0033017	FBgn0033017	CG10465
CG10465	FBgn0068508	FBgn0068508	Dyak\GE11245
yu	unknown ID	-	-
CG10513	FBgn0039311	FBgn0039311	CG10513
Adgf-D	FBgn0038172	FBgn0038172	Adgf-D
CG31195	FBgn0051195	FBgn0051195	CG31195
CG2861	FBgn0029728	FBgn0029728	CG2861
trn	FBgn0010452	FBgn0010452	trn
yata	FBgn0260990	FBgn0260990	yata
CG7130	FBgn0037151	FBgn0037151	CG7130
Nop56	FBgn0038964	FBgn0038964	Nop56
RabX4	FBgn0051118	FBgn0051118	RabX4
CG33330	FBgn0263929	FBgn0263929	jvl
CG4980	FBgn0039558	FBgn0039558	BCAS2
CG13679	FBgn0035856	FBgn0035856	CG13679
CG18107	FBgn0034330	FBgn0034330	CG18107
CG12024	FBgn0035283	FBgn0035283	CG12024
cenB1A	unknown ID	-	-
CG31548	FBgn0051548	FBgn0051548	CG31548
l(1)G0156	FBgn0027291	FBgn0027291	l(1)G0156
az2	FBgn0025185	FBgn0025185	az2
CG4269	FBgn0034741	FBgn0034741	CG4269
Sfp77F	FBgn0259972	FBgn0259972	Sfp77F
CG7718	FBgn0038649	FBgn0038649	CG7718
CG7718	FBgn0068243	FBgn0068243	Dyak\GE25174
snRNA:U5:63BC	FBgn0003938	FBgn0003938	snRNA:U5:63BC
CG1970	FBgn0086839	FBgn0086839	Dpse\GA25154
CG1970	FBgn0039909	FBgn0039909	CG1970
Mtch	FBgn0027786	FBgn0027786	Mtch
Gp93	FBgn0039562	FBgn0039562	Gp93
BicD	FBgn0000183	FBgn0000183	BicD
loco	FBgn0020278	FBgn0020278	loco
Got1	FBgn0001124	FBgn0001124	Got1
CG10189	FBgn0032793	FBgn0032793	CG10189
SsRbeta	FBgn0011016	FBgn0011016	SsRbeta
lid	FBgn0031759	FBgn0031759	lid
armi	FBgn0041164	FBgn0041164	armi
CG18067	FBgn0034512	FBgn0034512	CG18067
CG18067	FBgn0068371	FBgn0068371	Dyak\GE12120
tamo	FBgn0041582	FBgn0041582	tamo
polybromo	FBgn0039227	FBgn0039227	polybromo
Faf	FBgn0025608	FBgn0025608	Faf
CG30056	FBgn0050056	FBgn0050056	CG30056
Srp68	FBgn0035947	FBgn0035947	Srp68
hdm	FBgn0029977	FBgn0029977	hdm
mRpS25	FBgn0030572	FBgn0030572	mRpS25
msl-1	FBgn0005617	FBgn0005617	msl-1
Mpcp	FBgn0026409	FBgn0026409	Mpcp
CG8152	FBgn0034008	FBgn0034008	CG8152
Eip75B	FBgn0000568	FBgn0000568	Eip75B
Pkn	FBgn0020621	FBgn0020621	Pkn
bgm	FBgn0027348	FBgn0027348	bgm
Sbp2	FBgn0087039	FBgn0087039	Sbp2
Clc	FBgn0024814	FBgn0024814	Clc
Madm	FBgn0027497	FBgn0027497	Madm
Myo95E	FBgn0039157	FBgn0039157	Myo95E
CG34043	FBgn0054043	FBgn0054043	CG34043
chinmo	FBgn0086758	FBgn0086758	chinmo
CG9568	FBgn0032087	FBgn0032087	CG9568
CG9568	FBgn0068191	FBgn0068191	Dyak\GE18821
Tao-1	unknown ID	-	-
CG6388	FBgn0032430	FBgn0032430	CG6388
Dp1	FBgn0027835	FBgn0027835	Dp1
Asph	FBgn0034075	FBgn0034075	Asph
CG2887	FBgn0030207	FBgn0030207	CG2887
CG32418	FBgn0052418	FBgn0052418	vito
CG1311	FBgn0035523	FBgn0035523	CG1311
CG11309	FBgn0037070	FBgn0037070	CG11309
Stam	FBgn0027363	FBgn0027363	Stam
tal-1A	FBgn0259730	FBgn0259730	tal-1A
Rpt4	FBgn0028685	FBgn0028685	Rpt4
Lsm10	FBgn0033554	FBgn0033554	Lsm10
Rcd4	FBgn0032034	FBgn0032034	Rcd4
CG10096	FBgn0038032	FBgn0038032	CG10096
fs(1)Ya	FBgn0000927	FBgn0000927	fs(1)Ya
RpL5	FBgn0064225	FBgn0064225	RpL5
bchs	FBgn0043362	FBgn0043362	bchs
JhI-26	FBgn0028424	FBgn0028424	JhI-26
CG12945	FBgn0037755	FBgn0037755	CG12945
RpL26	FBgn0036825	FBgn0036825	RpL26
CG13822	FBgn0039098	FBgn0039098	CG13822
CG11007	FBgn0034455	FBgn0034455	CG11007
GstD1	FBgn0001149	FBgn0001149	GstD1
CG8550	FBgn0033742	FBgn0033742	CG8550
CG14425	FBgn0264270	FBgn0264270	Sxl
lilli	FBgn0041111	FBgn0041111	lilli
CG17219	FBgn0031494	FBgn0031494	CG17219
CG14872	FBgn0264775	FBgn0264775	CG44013
CG14872	FBgn0264776	FBgn0264776	CG44014
CG5948	FBgn0039386	FBgn0039386	CG5948
CG5793	FBgn0038858	FBgn0038858	CG5793
CG17544	FBgn0032775	FBgn0032775	CG17544
CG31475	FBgn0051475	FBgn0051475	CG31475
hts	FBgn0263391	FBgn0263391	hts
l(3)neo38	FBgn0265276	FBgn0265276	l(3)neo38
Fmr1	FBgn0028734	FBgn0028734	Fmr1
ste24c	FBgn0050462	FBgn0050462	ste24c
CG13096	FBgn0032050	FBgn0032050	CG13096
CG12014	FBgn0035445	FBgn0035445	CG12014
Glycogenin	FBgn0265191	FBgn0265191	Glycogenin
spag	FBgn0015544	FBgn0015544	spag
CG31864	FBgn0051864	FBgn0051864	Qtzl
Cyp6w1	FBgn0033065	FBgn0033065	Cyp6w1
CG32048	FBgn0261555	FBgn0261555	CG42673
CG3639	FBgn0031282	FBgn0031282	Pex12
Mcm10	FBgn0032929	FBgn0032929	Mcm10
PH4alphaEFB	FBti0143826	FBgn0014446	Avic\GFP
PH4alphaEFB	FBti0143826	FBgn0039776	PH4alphaEFB
PH4alphaEFB	FBgn0039776	FBgn0039776	PH4alphaEFB
CG31414	FBgn0051414	FBgn0051414	CG31414
betaggt-II	FBgn0028970	FBgn0028970	betaggt-II
CG7650	FBgn0262927	FBgn0262927	Dmon\CG7650
CG7650	FBgn0036519	FBgn0036519	CG7650
Ark	FBgn0263864	FBgn0263864	Ark
RagC	unknown ID	-	-
poly	FBgn0086371	FBgn0086371	poly
CG5161	FBgn0266724	FBgn0266724	Trs20
Sfp65A	FBgn0259969	FBgn0259969	Sfp65A
l(2)k09913	FBgn0021979	FBgn0021979	l(2)k09913
CG5191	FBgn0038803	FBgn0038803	CG5191
CG31223	FBgn0051223	FBgn0051223	CG31223
CG3168	FBgn0029896	FBgn0029896	CG3168
CG12493	FBgn0035571	FBgn0035571	CG12493
Pde11	FBgn0085370	FBgn0085370	Pde11
D19A	FBgn0022935	FBgn0022935	D19A
CG3947	FBgn0037019	FBgn0037019	Pex16
Gasp	FBgn0026077	FBgn0026077	Gasp
Prat2	FBgn0041194	FBgn0041194	Prat2
CG4753	FBgn0036622	FBgn0036622	CG4753
CG1785	FBgn0030061	FBgn0030061	CG1785
TfIIEalpha	FBgn0015828	FBgn0015828	TfIIEalpha
CG15744	FBgn0030466	FBgn0030466	CG15744
CG14207	FBgn0031037	FBgn0031037	CG14207
CG17141	FBgn0039020	FBgn0039020	CG17141
Ranbp21	FBgn0031051	FBgn0031051	Ranbp21
CG14145	FBgn0036118	FBgn0036118	Blos2
CG7988	FBgn0038582	FBgn0038582	CG7988
TM9SF4	FBgn0028541	FBgn0028541	TM9SF4
fl(2)d	FBgn0000662	FBgn0000662	fl(2)d
CG33774	FBgn0053774	FBgn0053774	CG33774
Msh6	FBgn0036486	FBgn0036486	Msh6
alpha-Est1	FBgn0015568	FBgn0015568	alpha-Est1
CG6439	FBgn0038922	FBgn0038922	CG6439
CG6583	FBgn0068270	FBgn0068270	Dyak\GE12369
CG6583	FBgn0032420	FBgn0032420	CG6583
crb	FBgn0259685	FBgn0259685	crb
pigeon	FBgn0010309	FBgn0010309	pigeon
CG3876	FBgn0031284	FBgn0031284	CG3876
mio	FBgn0031399	FBgn0031399	mio
Dap160	FBgn0023388	FBgn0023388	Dap160
CG10268	FBgn0032811	FBgn0032811	CG10268
CG13422	FBgn0034511	FBgn0034511	CG13422
CG9422	FBgn0033092	FBgn0033092	CG9422
CG14949	FBgn0035358	FBgn0035358	CG14949
CG2617	FBgn0032877	FBgn0032877	CG2617
CG3632	FBgn0030735	FBgn0030735	CG3632
CG31763	FBgn0262475	FBgn0262475	bru-2
CG8134	FBgn0030671	FBgn0030671	CG8134
l(1)G0196	FBgn0027279	FBgn0027279	l(1)G0196
lqfR	FBgn0261279	FBgn0261279	lqfR
Uba1	FBgn0023143	FBgn0023143	Uba1
Papst2	FBgn0036695	FBgn0036695	Papst2
alpha-Man-IIb	FBgn0026616	FBgn0026616	alpha-Man-IIb
Papss	FBgn0020389	FBgn0020389	Papss
CG3652	FBgn0031600	FBgn0031600	CG3652
CG30415	FBgn0250838	FBgn0250838	CG30415
CG14372	FBgn0038156	FBgn0038156	CG14372
CG17446	FBgn0030121	FBgn0030121	Cfp1
StIP	unknown ID	-	-
CG30466	FBgn0050466	FBgn0050466	CG30466
dgo	FBgn0086898	FBgn0086898	dgo
sug	FBgn0033782	FBgn0033782	sug
CG13366	FBgn0025633	FBgn0025633	CG13366
CG13366	FBgn0084176	FBgn0084176	Dmir\CG13366
CG11456	FBgn0037031	FBgn0037031	CG11456
CG13924	FBgn0035286	FBgn0035286	CG13924
dro5	unknown ID	-	-
CG3294	FBgn0031628	FBgn0031628	CG3294
Reg-5	FBgn0015801	FBgn0015801	Reg-5
Su(H)	FBgn0004837	FBgn0004837	Su(H)
CG14483	FBgn0034248	FBgn0034248	CG14483
Arp14D	unknown ID	-	-
Obp99c	FBgn0039682	FBgn0039682	Obp99c
lola	FBgn0005630	FBgn0005630	lola
CG13511	FBgn0034759	FBgn0034759	CG13511
RpS24	FBgn0261596	FBgn0261596	RpS24
Damm	FBgn0033659	FBgn0033659	Damm
ird1	FBgn0260935	FBgn0260935	ird1
sgl	FBgn0261445	FBgn0261445	sgl
fz	FBgn0001085	FBgn0001085	fz
CG13650	FBgn0039277	FBgn0039277	CG13650
CG11133	FBgn0037205	FBgn0037205	BoYb
CG7059	FBgn0038957	FBgn0038957	CG7059
CG8677	FBgn0026577	FBgn0026577	CG8677
CG15738	FBgn0030352	FBgn0030352	sicily
CG3149	FBgn0027564	FBgn0027564	CG3149
CG11426	FBgn0037166	FBgn0037166	CG11426
mRpL42	FBgn0033480	FBgn0033480	mRpL42
CG9380	FBgn0035094	FBgn0035094	CG9380
CG1750	FBgn0039836	FBgn0039836	CG1750
Neurochondrin	FBgn0037447	FBgn0037447	Neurochondrin
Pak3	FBgn0044826	FBgn0044826	Pak3
hfw	FBgn0001189	FBgn0001189	hfw
CG1021	FBgn0037443	FBgn0037443	Dmtn
CG12576	FBgn0031190	FBgn0031190	CG12576
tex	FBgn0037569	FBgn0037569	tex
Txl	FBgn0035631	FBgn0035631	Txl
htl	FBgn0010389	FBgn0010389	htl
CG14562	FBgn0084417	FBgn0084417	Dmir\CG14562
CG14562	FBgn0037142	FBgn0037142	CG14562
wol	FBgn0261020	FBgn0261020	wol
CG11069	FBgn0068489	FBgn0068489	Dyak\GE23528
CG11069	FBgn0039244	FBgn0039244	CG11069
CG5660	FBgn0035942	FBgn0035942	CG5660
CG12262	FBgn0035811	FBgn0035811	CG12262
CG1218	FBgn0037377	FBgn0037377	CG1218
snoRNA:Or-aca5	FBgn0086672	FBgn0086672	snoRNA:Or-aca5
CG13966	FBgn0264443	FBgn0264443	CG43861
CG17834	FBgn0028394	FBgn0028394	CG17834
Syx8	FBgn0036643	FBgn0036643	Syx8
skd	FBgn0003415	FBgn0003415	skd
CG9257	FBgn0032916	FBgn0032916	CG9257
CG14855	FBgn0038260	FBgn0038260	CG14855
CG41452	FBgn0262509	FBgn0262509	nrm
CG12384	FBgn0068464	FBgn0068464	Dyak\GE13531
CG12384	FBgn0033624	FBgn0033624	CG12384
CG34409	FBgn0085438	FBgn0085438	CG34409
CG12213	FBgn0260742	FBgn0260742	CG12213
dos	FBgn0016794	FBgn0016794	dos
CG3301	FBgn0038878	FBgn0038878	CG3301
PH4alphaPV	FBgn0051015	FBgn0051015	PH4alphaPV
CG32556	FBgn0263258	FBgn0263258	chas
CG30077	FBgn0050077	FBgn0050077	Blos1
tef	FBgn0086350	FBgn0086350	tef
dikar	FBgn0261934	FBgn0261934	dikar
RpL40	FBgn0003941	FBgn0003941	RpL40
CG32971	FBgn0052971	FBgn0052971	CG32971
Rop	FBgn0004574	FBgn0004574	Rop
CG10664	FBgn0067237	FBgn0067237	Dmau\CG10664
CG10664	FBgn0070535	FBgn0070535	Dpse\GA10478
CG10664	FBgn0067178	FBgn0067178	Dsim\CG10664
CG10664	FBgn0032833	FBgn0032833	CoIV
CG5500	FBgn0039461	FBgn0039461	CG5500
CG7824	FBgn0039711	FBgn0039711	CG7824
CG14275	FBgn0032022	FBgn0032022	CG14275
sick	FBgn0263873	FBgn0263873	sick
foxo	FBgn0038197	FBgn0038197	foxo
CD98hc	FBgn0037533	FBgn0037533	CD98hc
CG33087	FBgn0053087	FBgn0053087	LRP1
CG32645	FBgn0052645	FBgn0052645	CG32645
mub	FBgn0262737	FBgn0262737	mub
Idh	FBgn0001248	FBgn0001248	Idh
dsh	FBgn0000499	FBgn0000499	dsh
CG17650	FBgn0031365	FBgn0031365	CG17650
Usf	FBgn0029711	FBgn0029711	Usf
CG32666	FBgn0083447	FBgn0083447	Dsim\CG32666
CG32666	FBgn0052666	FBgn0052666	Drak
mus205	FBgn0002891	FBgn0002891	mus205
CG17919	FBgn0037433	FBgn0037433	CG17919
CG7409	FBgn0035817	FBgn0035817	CG7409
CG12608	FBgn0071767	FBgn0071767	Dpse\GA11717
CG12608	FBgn0030630	FBgn0030630	CG12608
CG5589	FBgn0036754	FBgn0036754	CG5589
CG5589	FBgn0084850	FBgn0084850	Dmir\CG5589
CG32847	FBgn0052847	FBgn0052847	CG32847
Gr61a	FBgn0035167	FBgn0035167	Gr61a
spt4	FBgn0028683	FBgn0028683	spt4
Spindly	FBgn0031549	FBgn0031549	Spindly
Taf12	FBgn0011290	FBgn0011290	Taf12
CG13085	FBgn0032780	FBgn0032780	CG13085
pinta	FBgn0038966	FBgn0038966	pinta
yl	FBgn0004649	FBgn0004649	yl
CG30054	FBgn0050054	FBgn0050054	CG30054
Rox8	FBgn0005649	FBgn0005649	Rox8
CG14823	FBgn0035734	FBgn0035734	CG14823
CG15916	FBgn0030704	FBgn0030704	CG15916
CG10333	FBgn0032690	FBgn0032690	CG10333
CG3409	FBgn0033095	FBgn0033095	CG3409
CG5734	FBgn0032191	FBgn0032191	CG5734
CG6673	FBgn0035906	FBgn0035906	GstO2
CG32409	FBgn0052409	FBgn0052409	CG32409
Ssdp	FBgn0011481	FBgn0011481	Ssdp
CG8441	FBgn0034086	FBgn0034086	CG8441
Mst57Da	FBgn0011668	FBgn0011668	Mst57Da
CG9773	FBgn0037609	FBgn0037609	CG9773
CG11242	FBgn0034451	FBgn0034451	TBCB
CG32594	FBgn0052594	FBgn0052594	be
CG30273	FBgn0050273	FBgn0050273	CG30273
Gprk2	FBgn0261988	FBgn0261988	Gprk2
CG14868	FBgn0038330	FBgn0038330	CG14868
CG5828	FBgn0031682	FBgn0031682	CG5828
CG33640	FBgn0053640	FBgn0053640	CG33640
CG17207	FBgn0038051	FBgn0038051	CG17207
futsch	FBgn0259108	FBgn0259108	futsch
CG8545	FBgn0033741	FBgn0033741	CG8545
CG6425	FBgn0039449	FBgn0039449	CG6425
CG3394	FBgn0034999	FBgn0034999	CG3394
