chr	tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	FPKM_2	FPKM_ave	log2(FPKM_ave)
2R	RpL29	-	-	RpL29	RpL29	TSS14031,TSS16042,TSS5255	2R:17181274-17181909	-	-	4729,86	4509,24	4950,48	OK	4696,86	4713,36	12,20
2L	RpL36A	-	-	RpL36A	RpL36A	TSS16394	2L:8041879-8042856	-	-	4778,69	4683,53	4873,86	OK	4372,83	4575,76	12,16
2L	RpLP1	-	-	RpLP1	RpLP1	TSS5049	2L:419930-420706	-	-	4090,43	4015,31	4165,56	OK	4588,05	4339,24	12,08
2L	RpS27A	-	-	RpS27A	RpS27A	TSS4320	2L:10408350-10410467	-	-	3905,56	3729,82	4081,29	OK	4237,13	4071,35	11,99
2L	RpL21	-	-	RpL21	RpL21	TSS4875	2L:22247110-22247833	-	-	3953,89	3888,56	4019,23	OK	3723,33	3838,61	11,91
3R	RpL32	-	-	RpL32	RpL32	TSS11090,TSS17537,TSS3085,TSS6952,TSS7594	3R:25870950-25871880	-	-	3399,05	3239,56	3558,53	OK	3542,75	3470,90	11,76
3R	RpS7	-	-	RpS7	RpS7	TSS11406,TSS9140	3R:26032239-26034742	-	-	3361,31	3227,84	3494,79	OK	3485,67	3423,49	11,74
2R	snoRNA:Me28S-U1848	-	-	snoRNA:Me28S-U1848	snoRNA:Me28S-U1848	TSS7832	2R:10510074-10510154	-	-	0,00	0,00	0,00	OK	6758,93	3379,47	11,72
2R	RpS23	-	-	RpS23	RpS23	TSS6639	2R:10102739-10104132	-	-	3227,91	3169,58	3286,24	OK	3506,39	3367,15	11,72
3L	RpS9	-	-	RpS9	RpS9	TSS12354,TSS9651	3L:9502989-9504642	-	-	3222,52	3077,00	3368,03	OK	3309,28	3265,90	11,67
2L	RpL37A	-	-	RpL37A	RpL37A	TSS11080,TSS14226,TSS3019	2L:5070956-5072055	-	-	3255,38	3097,15	3413,61	OK	3258,94	3257,16	11,67
2L	RpS13	-	-	RpS13	RpS13	TSS2842,TSS8501	2L:8363691-8364609	-	-	3129,18	2986,06	3272,31	OK	3350,58	3239,88	11,66
2L	RpS26	-	-	RpS26	RpS26	TSS11261,TSS6710	2L:18442497-18443237	-	-	3152,46	3008,83	3296,09	OK	3270,69	3211,58	11,65
2R	RpS16	-	-	RpS16	RpS16	TSS15036	2R:18493625-18495506	-	-	3119,71	3052,63	3186,80	OK	3274,43	3197,07	11,64
3R	RpS25	-	-	RpS25	RpS25	TSS11280	3R:7040941-7042037	-	-	3138,09	2995,43	3280,76	OK	3238,99	3188,54	11,64
2R	RpL19	-	-	RpL19	RpL19	TSS13730,TSS3080	2R:20855967-20857070	-	-	3003,89	2878,72	3129,07	OK	3299,88	3151,89	11,62
3L	RpL10Ab	-	-	RpL10Ab	RpL10Ab	TSS307	3L:11815951-11817311	-	-	3212,91	3069,07	3356,75	OK	3060,64	3136,78	11,62
X	RpS28b	-	-	RpS28b	RpS28b	TSS8671	X:9448654-9449242	-	-	2938,35	2870,50	3006,20	OK	3234,69	3086,52	11,59
4	RpS3A	-	-	RpS3A	RpS3A	TSS17527	4:86744-87863	-	-	2879,86	2752,20	3007,51	OK	3138,31	3009,09	11,56
2L	sop	-	-	sop	sop	TSS5488	2L:9896264-9897542	-	-	2772,08	2726,84	2817,32	OK	3093,94	2933,01	11,52
2R	RpLP2	-	-	RpLP2	RpLP2	TSS17223,TSS7856	2R:12473598-12474237	-	-	2584,04	2481,84	2686,24	OK	3230,66	2907,35	11,51
2L	RpL27A	-	-	RpL27A	RpL27A	TSS1562,TSS4163	2L:4457185-4458373	-	-	2907,18	2774,42	3039,94	OK	2867,63	2887,41	11,50
2R	RpL18A	-	-	RpL18A	RpL18A	TSS330	2R:13433894-13434999	-	-	2957,59	2822,74	3092,44	OK	2816,12	2886,86	11,50
3L	RpL14	-	-	RpL14	RpL14	TSS5970	3L:8594101-8595492	-	-	2757,32	2694,51	2820,12	OK	2975,71	2866,52	11,49
3L	RpL26	-	-	RpL26	RpL26	TSS16355	3L:18892173-18893024	-	-	2995,95	2934,49	3057,40	OK	2720,83	2858,39	11,48
2R	GstS1	-	-	GstS1	GstS1	TSS6945,TSS7926	2R:12980757-12984935	-	-	2509,79	2424,81	2594,77	OK	3107,89	2808,84	11,46
2R	RpL23	-	-	RpL23	RpL23	TSS9151	2R:18741900-18743219	-	-	2600,12	2478,23	2722,01	OK	2940,97	2770,55	11,44
X	RpL36	-	-	RpL36	RpL36	TSS10566,TSS10568,TSS3124,TSS9492	X:522349-523495	-	-	2614,31	2504,50	2724,12	OK	2901,91	2758,11	11,43
2R	RpS15	-	-	RpS15	RpS15	TSS10379,TSS276	2R:12457615-12458742	-	-	2593,13	2473,86	2712,40	OK	2837,08	2715,11	11,41
2L	RpL7	-	-	RpL7	RpL7	TSS5032	2L:10201100-10202145	-	-	2777,94	2731,62	2824,25	OK	2578,27	2678,11	11,39
X	RpL35	-	-	RpL35	RpL35	TSS16932,TSS9642	X:5566474-5567589	-	-	2606,97	2510,96	2702,97	OK	2580,87	2593,92	11,34
2L	RpL30	-	-	RpL30	RpL30	TSS17626	2L:19008232-19009273	-	-	2676,65	2548,81	2804,50	OK	2459,14	2567,90	11,33
2L	oho23B	-	-	oho23B	oho23B	TSS3158	2L:2856069-2857041	-	-	2463,97	2360,99	2566,95	OK	2581,37	2522,67	11,30
2R	eIF-5A	-	-	eIF-5A	eIF-5A	TSS9455	2R:19945346-19947002	-	-	2502,57	2388,91	2616,23	OK	2542,38	2522,48	11,30
3L	RpS12	-	-	RpS12	RpS12	TSS13410	3L:13016455-13017862	-	-	2471,89	2415,02	2528,76	OK	2563,66	2517,78	11,30
3R	RpS27	-	-	RpS27	RpS27	TSS10637	3R:21071673-21073222	-	-	2533,67	2478,99	2588,35	OK	2481,62	2507,65	11,29
2R	RpS11	-	-	RpS11	RpS11	TSS14724	2R:8086523-8088333	-	-	2538,41	2422,11	2654,71	OK	2393,53	2465,97	11,27
2R	pAbp	-	-	pAbp	pAbp	TSS14751,TSS15340,TSS15882,TSS17128,TSS3260,TSS6766	2R:14027582-14033740	-	-	2472,48	2368,32	2576,64	OK	2404,87	2438,68	11,25
3R	RpL3	-	-	RpL3	RpL3	TSS7464	3R:7047615-7050666	-	-	2339,84	2237,79	2441,90	OK	2433,33	2386,59	11,22
2L	RpL5	-	-	RpL5	RpL5	TSS8664,TSS9711	2L:22427532-22429419	-	-	2341,50	2237,36	2445,64	OK	2430,59	2386,05	11,22
2R	RpL31	-	-	RpL31	RpL31	TSS1394,TSS14081,TSS4387	2R:5474687-5475505	-	-	2206,52	2098,20	2314,83	OK	2495,73	2351,13	11,20
3R	RpS8	-	-	RpS8	RpS8	TSS4809	3R:25687588-25689575	-	-	2381,85	2276,32	2487,39	OK	2196,16	2289,01	11,16
3R	RpS30	-	-	RpS30	RpS30	TSS12113,TSS14902	3R:16676270-16677156	-	-	2106,83	2005,61	2208,05	OK	2468,50	2287,67	11,16
2R	RpL12	-	-	RpL12	RpL12	TSS16165,TSS8107	2R:19947922-19949039	-	-	2258,09	2151,47	2364,70	OK	2310,64	2284,37	11,16
2R	snoRNA:Me28S-C3420a	-	-	snoRNA:Me28S-C3420a	snoRNA:Me28S-C3420a	TSS4888	2R:8087166-8087257	-	-	4558,32	0,00	13675,00	OK	0,00	2279,16	11,15
2L	Ef2b	-	-	Ef2b	Ef2b	TSS10982,TSS11916,TSS12593	2L:21678096-21682150	-	-	2220,69	2126,57	2314,80	OK	2299,92	2260,31	11,14
2R	snoRNA:Me28S-G2703a	-	-	snoRNA:Me28S-G2703a	snoRNA:Me28S-G2703a	TSS9423	2R:10511021-10511112	-	-	4488,26	0,00	13464,80	OK	0,00	2244,13	11,13
3R	alphaTub84B	-	-	alphaTub84B	alphaTub84B	TSS1608	3R:2912259-2914582	-	-	2188,02	2160,25	2215,79	OK	2291,90	2239,96	11,13
3R	RpS20	-	-	RpS20	RpS20	TSS11700	3R:16647900-16649078	-	-	2087,48	1984,41	2190,54	OK	2386,19	2236,84	11,13
2R	RpL11	-	-	RpL11	RpL11	TSS9004	2R:15329853-15331014	-	-	2276,63	2224,15	2329,10	OK	2188,86	2232,75	11,12
3R	RpS3	-	-	RpS3	RpS3	TSS9717	3R:19184524-19185697	-	-	2113,39	2072,73	2154,05	OK	2335,07	2224,23	11,12
2L	RpL40	-	-	RpL40	RpL40	TSS4481	2L:4227641-4228563	-	-	2231,63	2179,88	2283,39	OK	2208,56	2220,10	11,12
X	RpL37a	-	-	RpL37a	RpL37a	TSS10613	X:15032357-15033423	-	-	1135,94	1104,66	1167,22	OK	3258,94	2197,44	11,10
3R	RpL6	-	-	RpL6	RpL6	TSS17425	3R:27420508-27421967	-	-	2104,52	2010,55	2198,49	OK	2276,32	2190,42	11,10
3R	Hsc70-4	-	-	Hsc70-4	Hsc70-4	TSS15717,TSS4478,TSS5003,TSS8025,TSS9568	3R:11068369-11072336	-	-	2160,81	2069,17	2252,45	OK	2219,22	2190,02	11,10
2L	RpL9	-	-	RpL9	RpL9	TSS14152,TSS5451	2L:11002832-11004189	-	-	2114,61	2017,23	2211,99	OK	2253,27	2183,94	11,09
X	RpS15Aa	-	-	RpS15Aa	RpS15Aa	TSS12947,TSS14223,TSS17352,TSS8023	X:13229805-13231687	-	-	2112,79	2024,84	2200,74	OK	2198,34	2155,57	11,07
X	RpS6	-	-	RpS6	RpS6	TSS10144,TSS13418	X:7793652-7795362	-	-	2049,99	1957,49	2142,49	OK	2240,41	2145,20	11,07
2R	RpS18	-	-	RpS18	RpS18	TSS14729,TSS4438	2R:16151476-16152399	-	-	2127,13	2035,76	2218,50	OK	2150,13	2138,63	11,06
3L	Hsp83	-	-	Hsp83	Hsp83	TSS8266	3L:3193026-3197061	-	-	2152,04	2132,41	2171,67	OK	2103,01	2127,53	11,05
3L	Qm	-	-	Qm	Qm	TSS14095,TSS9136	3L:23086735-23088569	-	-	4072,92	3920,62	4225,23	OK	33,53	2053,22	11,00
X	sta	-	-	sta	sta	TSS11491,TSS12172	X:1375829-1377446	-	-	2063,84	1971,81	2155,87	OK	2017,37	2040,61	10,99
X	RpL7A	-	-	RpL7A	RpL7A	TSS12268,TSS3929	X:6425048-6427318	-	-	2026,95	1943,60	2110,30	OK	2008,54	2017,75	10,98
X	Act5C	-	-	Act5C	Act5C	TSS14369,TSS5295	X:5794896-5798823	-	-	1891,23	1836,92	1945,54	OK	2139,17	2015,20	10,98
3L	RpS4	-	-	RpS4	RpS4	TSS14288,TSS16214	3L:13034855-13037012	-	-	1971,81	1881,83	2061,78	OK	2048,48	2010,15	10,97
3L	RpL28	-	-	RpL28	RpL28	TSS13828,TSS17067,TSS5150,TSS7550	3L:3220910-3222960	-	-	2051,91	1955,84	2147,99	OK	1955,53	2003,72	10,97
3L	RpS17	-	-	RpS17	RpS17	TSS12661	3L:9421788-9422917	-	-	1961,90	1914,30	2009,49	OK	2037,26	1999,58	10,97
3L	RpL18	-	-	RpL18	RpL18	TSS14415	3L:7233293-7234449	-	-	1941,98	1847,79	2036,16	OK	2003,53	1972,76	10,95
X	RpS5a	-	-	RpS5a	RpS5a	TSS14659	X:17037619-17042287	-	-	1898,06	1857,22	1938,90	OK	1962,62	1930,34	10,91
3L	RpL23A	-	-	RpL23A	RpL23A	TSS5385	3L:1667191-1668677	-	-	1822,56	1740,05	1905,08	OK	2006,87	1914,72	10,90
3L	snoRNA:Me28S-A2634c	-	-	snoRNA:Me28S-A2634c	snoRNA:Me28S-A2634c	TSS3622	3L:1666436-1666522	-	-	0,00	0,00	0,00	OK	3794,06	1897,03	10,89
3R	RpL13A	-	-	RpL13A	RpL13A	TSS14722	3R:1450185-1451679	-	-	1812,66	1767,46	1857,87	OK	1965,05	1888,86	10,88
3R	RpL27	-	-	RpL27	RpL27	TSS15604	3R:21509459-21510813	-	-	2100,71	2057,39	2144,04	OK	1645,54	1873,13	10,87
3R	RpS5b	-	-	RpS5b	RpS5b	TSS7380	3R:10726153-10727310	-	-	1924,82	1886,05	1963,59	OK	1793,49	1859,16	10,86
2L	smt3	-	-	smt3	smt3	TSS2517	2L:6966775-6967593	-	-	1799,12	1758,23	1840,00	OK	1907,40	1853,26	10,86
2R	tsr	-	-	tsr	tsr	TSS4015	2R:19931970-19934359	-	-	1677,93	1599,04	1756,83	OK	1768,38	1723,16	10,75
2L	eIF-4a	-	-	eIF-4a	eIF-4a	TSS3093,TSS5482	2L:5981758-5985572	-	-	1624,28	1568,29	1680,26	OK	1670,31	1647,30	10,69
3R	RpL4	-	-	RpL4	RpL4	TSS5597	3R:23748514-23750644	-	-	1633,04	1605,37	1660,72	OK	1631,59	1632,32	10,67
2R	RpS24	-	-	RpS24	RpS24	TSS10403	2R:18528025-18528923	-	-	1560,37	1516,73	1604,01	OK	1677,19	1618,78	10,66
X	RpS10b	-	-	RpS10b	RpS10b	TSS12018,TSS7412	X:19492063-19493111	-	-	1569,29	1500,62	1637,96	OK	1641,24	1605,27	10,65
3L	RpLP0	-	-	RpLP0	RpLP0	TSS2050	3L:22069141-22070587	-	-	1535,92	1509,89	1561,95	OK	1559,00	1547,46	10,60
3R	His4r	-	-	His4r	His4r	TSS10149,TSS11807,TSS13144	3R:10451460-10452336	-	-	1373,21	1307,00	1439,43	OK	1628,36	1500,79	10,55
X	RpS19a	-	-	RpS19a	RpS19a	TSS5965,TSS8287	X:16531911-16532953	-	-	1356,93	1287,01	1426,85	OK	1635,66	1496,30	10,55
2L	Rack1	-	-	Rack1	Rack1	TSS10687	2L:7825625-7827252	-	-	1502,13	1471,67	1532,58	OK	1482,95	1492,54	10,54
3R	14-3-3epsilon	-	-	14-3-3epsilon	14-3-3epsilon	TSS2893	3R:14068252-14074388	-	-	1445,47	1402,53	1488,40	OK	1508,14	1476,81	10,53
3R	RpL35A	-	-	RpL35A	RpL35A	TSS5851	3R:1291288-1292819	-	-	1380,17	1340,42	1419,92	OK	1485,35	1432,76	10,48
3L	RpL8	-	-	RpL8	RpL8	TSS1331,TSS1992	3L:2587449-2588997	-	-	1394,00	1329,68	1458,33	OK	1468,22	1431,11	10,48
2L	RpL13	-	-	RpL13	RpL13	TSS17750,TSS4361	2L:9967311-9968495	-	-	1310,10	1253,90	1366,31	OK	1552,06	1431,08	10,48
3R	awd	-	-	awd	awd	TSS7866	3R:27570893-27571706	-	-	1322,96	1254,75	1391,17	OK	1513,22	1418,09	10,47
2R	betaTub56D	-	-	betaTub56D	betaTub56D	TSS10167,TSS13197,TSS2432	2R:15334823-15339122	-	-	1352,47	1292,42	1412,51	OK	1422,99	1387,73	10,44
X	RpL17	-	-	RpL17	RpL17	TSS1535,TSS17655,TSS4448,TSS8965	X:6635569-6638290	-	-	1435,74	1366,62	1504,87	OK	1339,53	1387,64	10,44
2L	Df31	-	-	Df31	Df31	TSS6156	2L:21626589-21629928	-	-	1361,38	1301,07	1421,70	OK	1345,81	1353,60	10,40
3R	Tctp	-	-	Tctp	Tctp	TSS10797	3R:7035974-7037006	-	-	1344,40	1314,88	1373,92	OK	1322,84	1333,62	10,38
X	cib	-	-	cib	cib	TSS11653,TSS15216	X:4000147-4005014	-	-	1241,15	1191,78	1290,53	OK	1355,95	1298,55	10,34
3R	Ef1gamma	-	-	Ef1gamma	Ef1gamma	TSS10506,TSS4571	3R:25045887-25047831	-	-	1346,63	1294,67	1398,59	OK	1238,00	1292,32	10,34
2L	RpL24	-	-	RpL24	RpL24	TSS1205	2L:13394122-13395115	-	-	1287,69	1253,75	1321,63	OK	1279,73	1283,71	10,33
2R	RpL22-like	-	-	RpL22-like	RpL22-like	TSS14346	2R:19134114-19135360	-	-	1058,35	1034,89	1081,81	OK	1157,90	1108,13	10,11
3R	RpL34b	-	-	RpL34b	RpL34b	TSS1031,TSS11687	3R:5226032-5226978	-	-	1064,83	1009,76	1119,89	OK	1108,55	1086,69	10,09
2R	HmgD	-	-	HmgD	HmgD	TSS14154	2R:17600835-17604230	-	-	1061,34	1020,11	1102,57	OK	1107,64	1084,49	10,08
2R	IM14	-	-	IM14	IM14	TSS14799	2R:16757929-16758134	-	-	1007,66	585,34	1429,98	OK	991,91	999,78	9,97
2R	FK506-bp2	-	-	FK506-bp2	FK506-bp2	TSS4589	2R:15177609-15178467	-	-	915,14	882,38	947,90	OK	1003,02	959,08	9,91
2R	Cam	-	-	Cam	Cam	TSS11941,TSS13033	2R:8146912-8162130	-	-	920,27	878,97	961,57	OK	969,74	945,00	9,88
2R	CG15098	-	-	CG15098	CG15098	TSS17391	2R:14720876-14722276	-	-	885,01	856,39	913,63	OK	1001,17	943,09	9,88
2R	CG3800	-	-	CG3800	CG3800	TSS13268,TSS6015	2R:18822091-18824453	-	-	882,04	846,88	917,20	OK	897,58	889,81	9,80
2R	Act42A	-	-	Act42A	Act42A	TSS5754	2R:1901414-1903190	-	-	859,86	819,91	899,80	OK	912,07	885,96	9,79
4	ATPsyn-beta	-	-	ATPsyn-beta	ATPsyn-beta	TSS9853	4:1052439-1055175	-	-	828,53	789,68	867,38	OK	918,89	873,71	9,77
2L	CG9336	-	-	CG9336	CG9336	TSS6147	2L:20859168-20861017	-	-	700,48	672,92	728,04	OK	1045,94	873,21	9,77
2R	Cp1	-	-	Cp1	Cp1	TSS2047,TSS2111,TSS4918	2R:9848163-9855486	-	-	810,02	771,95	848,10	OK	926,64	868,33	9,76
3L	Hsp27	-	-	Hsp27	Hsp27	TSS15794	3L:9377164-9378384	-	-	820,29	802,60	837,98	OK	886,92	853,60	9,74
3R	CG6783	-	-	CG6783	CG6783	TSS3965,TSS4908,TSS5332,TSS6472	3R:7385611-7392771	-	-	754,50	715,58	793,41	OK	951,21	852,85	9,74
3L	Argk	-	-	Argk	Argk	TSS11055,TSS15519,TSS7536,TSS9012	3L:9041961-9059127	-	-	783,85	758,64	809,05	OK	885,03	834,44	9,70
2R	Nacalpha	-	-	Nacalpha	Nacalpha	TSS17525,TSS3624,TSS5874	2R:8647197-8648377	-	-	816,66	776,53	856,78	OK	840,21	828,43	9,69
2L	CG6770	-	-	CG6770	CG6770	TSS7157	2L:12045345-12046100	-	-	797,66	773,60	821,72	OK	855,74	826,70	9,69
X	CG10990	-	-	CG10990	CG10990	TSS7101,TSS7746	X:13639609-13649421	-	-	851,37	821,34	881,40	OK	785,93	818,65	9,68
2L	Hrb27C	-	-	Hrb27C	Hrb27C	TSS10353,TSS11037,TSS17769,TSS8733	2L:6920692-6926046	-	-	861,36	828,01	894,71	OK	771,21	816,28	9,67
2R	Obp44a	-	-	Obp44a	Obp44a	TSS2161	2R:4021874-4022588	-	-	779,60	735,82	823,38	OK	838,85	809,23	9,66
3R	CG5612	-	-	CG5612	CG5612	TSS10912	3R:23449080-23451731	-	-	640,33	624,71	655,95	OK	969,53	804,93	9,65
2R	Nap1	-	-	Nap1	Nap1	TSS17347	2R:19792695-19794837	-	-	741,25	724,35	758,15	OK	836,61	788,93	9,62
3R	CG1746	-	-	CG1746	CG1746	TSS12628,TSS15315,TSS5576	3R:27041863-27045357	-	-	727,97	693,13	762,80	OK	788,10	758,03	9,57
X	RpS14b	-	-	RpS14b	RpS14b	TSS17394	X:7828936-7829832	-	-	769,03	738,80	799,26	OK	742,71	755,87	9,56
2R	Ef1beta	-	-	Ef1beta	Ef1beta	TSS16207	2R:12755697-12756681	-	-	741,07	717,43	764,71	OK	718,38	729,73	9,51
X	RpS14a	-	-	RpS14a	RpS14a	TSS2890,TSS5343	X:7827778-7828713	-	-	691,48	651,43	731,53	OK	767,26	729,37	9,51
3R	His2Av	-	-	His2Av	His2Av	TSS14093	3R:22692652-22694630	-	-	685,43	663,27	707,60	OK	704,09	694,76	9,44
3R	RpS19b	-	-	RpS19b	RpS19b	TSS4817	3R:19758450-19759252	-	-	652,09	623,52	680,66	OK	733,45	692,77	9,44
3L	Hsp26	-	-	Hsp26	Hsp26	TSS10444	3L:9369517-9370527	-	-	667,34	646,35	688,33	OK	714,40	690,87	9,43
2R	RpL37b	-	-	RpL37b	RpL37b	TSS12396	2R:18987579-18987982	-	-	638,52	598,41	678,64	OK	737,29	687,91	9,43
2L	chic	-	-	chic	chic	TSS10691,TSS3179,TSS3337	2L:5972899-5981025	-	-	689,37	662,24	716,51	OK	684,37	686,87	9,42
2R	Tom7	-	-	Tom7	Tom7	TSS13211	2R:4839192-4839694	-	-	676,63	634,39	718,86	OK	673,82	675,23	9,40
2R	blw	-	-	blw	blw	TSS6300	2R:18686560-18689685	-	-	678,68	664,58	692,77	OK	668,65	673,66	9,40
3R	exba	-	-	exba	exba	TSS12821,TSS13089,TSS14528,TSS8595	3R:1421085-1426891	-	-	620,87	598,61	643,13	OK	717,20	669,04	9,39
3L	CG17737	-	-	CG17737	CG17737	TSS16954	3L:3223349-3224704	-	-	634,02	608,43	659,60	OK	680,05	657,03	9,36
2L	Akap200	-	-	Akap200	Akap200	TSS16939,TSS5044,TSS7068	2L:8415689-8430984	-	-	640,64	619,00	662,29	OK	662,61	651,63	9,35
2R	CG2249	-	-	CG2249	CG2249	TSS6724	2R:5936984-5938379	-	-	654,50	606,13	702,86	OK	643,26	648,88	9,34
3L	Arf79F	-	-	Arf79F	Arf79F	TSS12555,TSS13920,TSS14713,TSS4144,TSS6492	3L:22861478-22865331	-	-	653,31	628,53	678,09	OK	638,92	646,11	9,34
3R	GstD1	-	-	GstD1	GstD1	TSS10539,TSS11808	3R:8193268-8194987	-	-	526,89	497,10	556,69	OK	752,78	639,83	9,32
3L	Hsp23	-	-	Hsp23	Hsp23	TSS2790	3L:9374983-9375867	-	-	616,83	596,04	637,62	OK	654,84	635,84	9,31
2L	eEF1delta	-	-	eEF1delta	eEF1delta	TSS9202	2L:10232492-10234450	-	-	593,04	566,09	619,99	OK	663,07	628,06	9,29
3R	Droj2	-	-	Droj2	Droj2	TSS10652,TSS11628,TSS16485,TSS17797,TSS6070	3R:9207798-9211013	-	-	627,26	598,30	656,22	OK	612,79	620,02	9,28
3R	CG16817	-	-	CG16817	CG16817	TSS14524	3R:5503626-5505380	-	-	566,60	550,48	582,72	OK	663,11	614,86	9,26
3R	Rm62	-	-	Rm62	Rm62	TSS14085,TSS1819,TSS3252,TSS4590	3R:1826152-1834301	-	-	597,88	575,78	619,98	OK	627,21	612,54	9,26
2R	Oda	-	-	Oda	Oda	TSS13021,TSS13636,TSS7702	2R:8054076-8061767	-	-	590,45	561,48	619,42	OK	630,71	610,58	9,25
X	CG6891	-	-	CG6891	CG6891	TSS2407,TSS9432	X:18669262-18675378	-	-	511,63	483,70	539,56	OK	707,66	609,64	9,25
3R	Sap-r	-	-	Sap-r	Sap-r	TSS1530,TSS6167	3R:26709185-26714795	-	-	566,31	540,98	591,64	OK	648,96	607,63	9,25
2L	NLaz	-	-	NLaz	NLaz	TSS4776	2L:1359982-1361732	-	-	580,11	558,61	601,60	OK	629,00	604,56	9,24
2R	TER94	-	-	TER94	TER94	TSS11170,TSS14900,TSS15366,TSS8396	2R:5876665-5881072	-	-	602,74	575,64	629,83	OK	603,27	603,00	9,24
X	CG4068	-	-	CG4068	CG4068	TSS10862,TSS12183,TSS12513,TSS13415,TSS17812	X:4820693-4832077	-	-	611,19	584,24	638,15	OK	585,08	598,14	9,22
3L	CG7630	-	-	CG7630	CG7630	TSS10060	3L:17418587-17419382	-	-	527,98	490,08	565,89	OK	665,92	596,95	9,22
2R	bic	-	-	bic	bic	TSS12649,TSS13275	2R:8757741-8759608	-	-	608,63	580,38	636,87	OK	584,29	596,46	9,22
3R	mfas	-	-	mfas	mfas	TSS14510,TSS5174	3R:7810583-7819037	-	-	522,20	505,84	538,56	OK	661,71	591,96	9,21
3L	CG32230	-	-	CG32230	CG32230	TSS17569	3L:23332425-23334706	-	-	555,11	512,75	597,48	OK	616,17	585,64	9,19
2R	14-3-3zeta	-	-	14-3-3zeta	14-3-3zeta	TSS10244,TSS10277,TSS8966	2R:5987183-5997192	-	-	556,36	536,93	575,78	OK	609,19	582,77	9,19
3R	CG3321	-	-	CG3321	CG3321	TSS11204,TSS845	3R:10152668-10153457	-	-	536,10	499,56	572,63	OK	627,09	581,59	9,18
X	Cyp1	-	-	Cyp1	Cyp1	TSS16738	X:16211705-16214445	-	-	552,85	535,95	569,75	OK	601,42	577,13	9,17
X	His3.3B	-	-	His3.3B	His3.3B	TSS14608,TSS4636,TSS5969	X:9047270-9050721	-	-	560,69	532,27	589,11	OK	578,94	569,82	9,15
2R	CG2852	-	-	CG2852	CG2852	TSS9749	2R:18532447-18533851	-	-	547,73	527,43	568,04	OK	586,13	566,93	9,15
2R	IM4	-	-	IM4	IM4	TSS10475	2R:16756340-16756826	-	-	501,07	463,85	538,30	OK	604,39	552,73	9,11
2R	Uba1	-	-	Uba1	Uba1	TSS10771	2R:5575791-5580833	-	-	572,81	564,40	581,23	OK	528,27	550,54	9,10
3R	CG31477	-	-	CG31477	CG31477	TSS15693	3R:5947522-5948042	-	-	536,72	497,80	575,64	OK	534,87	535,79	9,07
2L	cype	-	-	cype	cype	TSS10066	2L:5327240-5328000	-	-	540,17	497,61	582,73	OK	516,81	528,49	9,05
3R	Jupiter	-	-	Jupiter	Jupiter	TSS10716,TSS3734,TSS6796	3R:7416107-7445656	-	-	534,45	508,50	560,40	OK	519,39	526,92	9,04
2L	CG18591	-	-	CG18591	CG18591	TSS17105	2L:7884931-7885425	-	-	534,44	506,77	562,10	OK	519,29	526,86	9,04
X	sesB	-	-	sesB	sesB	TSS14704,TSS18017	X:10675018-10680978	-	-	483,52	465,66	501,38	OK	549,31	516,41	9,01
