chr	tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	FPKM_2	FPKM_ave	log2(FPKM_ave)
2L	Ipk2	-	-	Ipk2	Ipk2	TSS1506	2L:573032-574232	-	-	2,73	1,22	4,25	OK	3,14	2,93	1,55
2L	CG2813	-	-	CG2813	CG2813	TSS7137	2L:574485-575734	-	-	22,32	16,61	28,04	OK	16,80	19,56	4,29
2L	Ptth	-	-	Ptth	Ptth	TSS8480	2L:575710-576896	-	-	4,65	2,17	7,13	OK	5,54	5,10	2,35
2L	Pph13	-	-	Pph13	Pph13	TSS5217	2L:577487-579549	-	-	0,00	0,00	0,00	OK	0,11	0,06	-4,18
2L	Gsc	-	-	Gsc	Gsc	TSS12567,TSS6731	2L:583539-594810	-	-	0,46	0,00	1,03	OK	0,22	0,34	-1,57
2L	CG13689	-	-	CG13689	CG13689	TSS12091	2L:602812-603562	-	-	1,29	0,00	2,79	OK	2,00	1,65	0,72
2L	lectin-21Cb	-	-	lectin-21Cb	lectin-21Cb	TSS9523	2L:620432-621540	-	-	0,41	0,00	1,24	OK	0,00	0,21	-2,28
2L	lectin-21Ca	-	-	lectin-21Ca	lectin-21Ca	TSS4026	2L:624616-625556	-	-	2,74	0,80	4,68	OK	0,00	1,37	0,45
2L	CG2839	-	-	CG2839	CG2839	TSS8224	2L:625662-628143	-	-	0,24	0,00	0,49	OK	0,00	0,12	-3,03
2L	ds	-	-	ds	ds	TSS78	2L:640020-714968	-	-	1,94	1,57	2,32	OK	1,67	1,81	0,85
2L	Hsp60B	-	-	Hsp60B	Hsp60B	TSS8809	2L:728411-730564	-	-	809,61	791,21	828,01	OK	858,18	833,90	9,70
2L	Eaat2	-	-	Eaat2	Eaat2	TSS16983,TSS8145	2L:737211-744395	-	-	0,24	0,00	0,62	OK	0,53	0,38	-1,38
2L	GABA-B-R3	-	-	GABA-B-R3	GABA-B-R3	TSS2885,TSS4516	2L:752799-762142	-	-	17,39	15,14	19,65	OK	19,27	18,33	4,20
2L	CG12506	-	-	CG12506	CG12506	TSS14665	2L:773574-774020	-	-	296,26	266,56	325,96	OK	166,29	231,27	7,85
2L	CG13946	-	-	CG13946	CG13946	TSS14977	2L:776535-776892	-	-	306,25	265,88	346,62	OK	168,64	237,44	7,89
2L	CG13947	-	-	CG13947	CG13947	TSS3974	2L:779200-779655	-	-	41,72	31,60	51,84	OK	32,56	37,14	5,22
2L	Gr21a	-	-	Gr21a	Gr21a	TSS12060	2L:780481-782885	-	-	0,00	0,00	0,00	OK	0,23	0,12	-3,09
2L	CG3544	-	-	CG3544	CG3544	TSS6888	2L:784335-786161	-	-	103,71	95,31	112,11	OK	103,18	103,45	6,69
2L	Pkg21D	-	-	Pkg21D	Pkg21D	TSS16314	2L:786152-790795	-	-	7,79	6,17	9,40	OK	8,36	8,07	3,01
2L	Nnf1b	-	-	Nnf1b	Nnf1b	TSS10577	2L:810585-811531	-	-	6,41	3,07	9,75	OK	6,42	6,41	2,68
2L	KH1	-	-	KH1	KH1	TSS13881	2L:811608-813380	-	-	1,68	0,66	2,69	OK	1,31	1,49	0,58
2L	CG3883	-	-	CG3883	CG3883	TSS17279	2L:813313-815951	-	-	3,95	2,67	5,23	OK	3,05	3,50	1,81
2L	CG3639	-	-	CG3639	CG3639	TSS9515	2L:816022-817032	-	-	1,69	0,31	3,08	OK	3,97	2,83	1,50
2L	CG15880	-	-	CG15880	CG15880	TSS9634	2L:817045-818445	-	-	5,34	2,64	8,03	OK	9,45	7,39	2,89
2L	CG3876	-	-	CG3876	CG3876	TSS13804	2L:818078-819492	-	-	3,34	1,44	5,23	OK	1,48	2,41	1,27
2L	Clp	-	-	Clp	Clp	TSS12164	2L:819963-821209	-	-	4,66	2,80	6,53	OK	5,24	4,95	2,31
2L	CG3662	-	-	CG3662	CG3662	TSS7028	2L:821417-824337	-	-	243,05	228,45	257,65	OK	226,61	234,83	7,88
2L	CG3862	-	-	CG3862	CG3862	TSS4167	2L:824328-825861	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	dock	-	-	dock	dock	TSS17579	2L:825963-833245	-	-	25,00	22,30	27,69	OK	20,52	22,76	4,51
2L	drongo	-	-	drongo	drongo	TSS11345,TSS15832,TSS5465	2L:833583-851096	-	-	29,26	26,12	32,39	OK	26,91	28,08	4,81
2L	CG4291	-	-	CG4291	CG4291	TSS7315	2L:851315-852709	-	-	15,26	12,10	18,41	OK	12,68	13,97	3,80
2L	kraken	-	-	kraken	kraken	TSS9918	2L:852766-854539	-	-	54,96	48,90	61,01	OK	46,57	50,76	5,67
2L	CG13949	-	-	CG13949	CG13949	TSS13003	2L:855336-856236	-	-	20,38	14,93	25,82	OK	17,05	18,71	4,23
2L	CG13950	-	-	CG13950	CG13950	TSS8219	2L:860308-861806	-	-	1,62	0,39	2,84	OK	1,08	1,35	0,43
2L	aru	-	-	aru	aru	TSS13725,TSS4083,TSS4305	2L:861848-868352	-	-	27,71	24,96	30,45	OK	26,01	26,86	4,75
2L	snoRNA:Me28S-U1230	-	-	snoRNA:Me28S-U1230	snoRNA:Me28S-U1230	TSS592	2L:865365-865493	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	dbe	-	-	dbe	dbe	TSS6823	2L:868674-869911	-	-	6,41	4,28	8,53	OK	6,60	6,50	2,70
2L	PNUTS	-	-	PNUTS	PNUTS	TSS2061,TSS5070	2L:870463-877050	-	-	12,44	10,35	14,52	OK	12,83	12,63	3,66
2L	ninaA	-	-	ninaA	ninaA	TSS17103	2L:877292-878270	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG15824	-	-	CG15824	CG15824	TSS16079	2L:878174-885052	-	-	57,46	53,67	61,25	OK	60,51	58,99	5,88
2L	Lsp1beta	-	-	Lsp1beta	Lsp1beta	TSS2609	2L:898646-901320	-	-	0,90	0,32	1,48	OK	1,27	1,08	0,12
2L	snRNA:U1:21D	-	-	snRNA:U1:21D	snRNA:U1:21D	TSS14144	2L:901490-901662	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	GluRIIC	-	-	GluRIIC	GluRIIC	TSS9299	2L:914089-917805	-	-	8,20	6,67	9,74	OK	6,59	7,39	2,89
2L	CG4341	-	-	CG4341	CG4341	TSS8377	2L:922794-958100	-	-	1,53	0,92	2,14	OK	1,80	1,67	0,74
2L	spen	-	-	spen	spen	TSS2024,TSS5701,TSS8150	2L:159033-203251	-	-	8,94	8,23	9,64	OK	10,29	9,61	3,26
2L	S	-	-	S	S	TSS507	2L:1050876-1077811	-	-	23,31	20,72	25,90	OK	26,28	24,80	4,63
2L	ast	-	-	ast	ast	TSS162	2L:1077979-1080809	-	-	13,65	11,43	15,87	OK	14,80	14,23	3,83
2L	ia2	-	-	ia2	ia2	TSS14550,TSS8529	2L:1011420-1048053	-	-	3,71	3,02	4,41	OK	3,39	3,55	1,83
2L	CG4375	-	-	CG4375	CG4375	TSS6515	2L:1026106-1026897	-	-	236,98	216,46	257,49	OK	266,98	251,98	7,98
2L	CG4415	-	-	CG4415	CG4415	TSS16288	2L:1037274-1038685	-	-	25,93	21,59	30,26	OK	20,09	23,01	4,52
2L	CG4644	-	-	CG4644	CG4644	TSS11940	2L:1103482-1108369	-	-	12,62	11,01	14,22	OK	11,69	12,16	3,60
2L	Atg4	-	-	Atg4	Atg4	TSS1861	2L:1080912-1083378	-	-	6,35	4,63	8,06	OK	7,57	6,96	2,80
2L	CG4629	-	-	CG4629	CG4629	TSS11218	2L:1083089-1102506	-	-	2,51	1,58	3,45	OK	2,27	2,39	1,26
2L	CG14340	-	-	CG14340	CG14340	TSS2724	2L:1112987-1114140	-	-	1,18	0,00	2,36	OK	0,56	0,87	-0,20
2L	CG14339	-	-	CG14339	CG14339	TSS11569	2L:1108538-1112702	-	-	31,72	28,74	34,71	OK	29,58	30,65	4,94
2L	Pino	-	-	Pino	Pino	TSS11932,TSS14516	2L:1114651-1128953	-	-	57,40	51,41	63,39	OK	56,73	57,07	5,83
2L	CG4552	-	-	CG4552	CG4552	TSS5468	2L:1129234-1132413	-	-	55,00	50,10	59,91	OK	52,91	53,95	5,75
2L	Iris	-	-	Iris	Iris	TSS8011	2L:1132329-1134120	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG4726	-	-	CG4726	CG4726	TSS8326	2L:1143202-1147395	-	-	0,38	0,00	0,81	OK	0,35	0,37	-1,45
2L	CG4577	-	-	CG4577	CG4577	TSS13111	2L:1134701-1141156	-	-	0,44	0,05	0,83	OK	0,33	0,38	-1,39
2L	CG4749	-	-	CG4749	CG4749	TSS7183	2L:1147832-1149454	-	-	2,18	1,06	3,30	OK	0,00	1,09	0,12
2L	Tfb4	-	-	Tfb4	Tfb4	TSS586	2L:1149444-1150673	-	-	17,19	12,37	22,00	OK	19,45	18,32	4,20
2L	Tango14	-	-	Tango14	Tango14	TSS12103	2L:1158678-1160221	-	-	3,61	2,00	5,23	OK	3,56	3,59	1,84
2L	CG5080	-	-	CG5080	CG5080	TSS13219,TSS6765	2L:1160289-1163882	-	-	3,34	2,15	4,54	OK	2,86	3,10	1,63
2L	CG4764	-	-	CG4764	CG4764	TSS9877	2L:1150782-1151764	-	-	24,74	19,55	29,93	OK	28,12	26,43	4,72
2L	capt	-	-	capt	capt	TSS12578,TSS3165	2L:1151677-1158264	-	-	19,62	16,47	22,78	OK	20,52	20,07	4,33
2L	CG4785	-	-	CG4785	CG4785	TSS12985	2L:1164469-1166432	-	-	2,09	1,16	3,03	OK	1,86	1,98	0,98
2L	CG31922	-	-	CG31922	CG31922	TSS10952	2L:1170233-1170847	-	-	2,70	0,00	6,32	OK	0,00	1,35	0,43
2L	CG5118	-	-	CG5118	CG5118	TSS5629	2L:1170751-1172745	-	-	3,04	1,71	4,37	OK	3,48	3,26	1,71
2L	CG14341	-	-	CG14341	CG14341	TSS15750	2L:1166559-1167213	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	Plap	-	-	Plap	Plap	TSS16374	2L:1167168-1170079	-	-	98,96	91,91	106,01	OK	105,66	102,31	6,68
2L	CG4887	-	-	CG4887	CG4887	TSS1121	2L:1173010-1177500	-	-	4,26	3,26	5,25	OK	4,85	4,56	2,19
2L	Tgt	-	-	Tgt	Tgt	TSS17731	2L:1184087-1185698	-	-	2,20	1,10	3,30	OK	2,69	2,45	1,29
2L	CG5001	-	-	CG5001	CG5001	TSS3835	2L:1186255-1196806	-	-	1,93	0,97	2,90	OK	2,61	2,27	1,18
2L	CG5139	-	-	CG5139	CG5139	TSS17927	2L:1198464-1199204	-	-	351,44	327,52	375,36	OK	375,85	363,64	8,51
2L	CG5011	-	-	CG5011	CG5011	TSS7625	2L:1200236-1201220	-	-	0,00	0,00	0,00	OK	0,73	0,37	-1,45
2L	CG14342	-	-	CG14342	CG14342	TSS1141	2L:1204240-1205254	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG42329	-	-	CG42329	CG42329	TSS14919	2L:1219362-1229471	-	-	0,97	0,18	1,75	OK	1,21	1,09	0,12
2L	CG5397	-	-	CG5397	CG5397	TSS17406	2L:1240037-1242205	-	-	3,71	2,43	5,00	OK	3,87	3,79	1,92
2L	robo3	-	-	robo3	robo3	TSS15507	2L:1256825-1293835	-	-	1,20	0,72	1,68	OK	1,66	1,43	0,52
2L	a5	-	-	a5	a5	TSS15196	2L:1329160-1329904	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG5440	-	-	CG5440	CG5440	TSS9687	2L:1334268-1334763	-	-	32,93	22,69	43,17	OK	45,63	39,28	5,30
2L	CG33923	-	-	CG33923	CG33923	TSS813	2L:1341364-1342095	-	-	2,61	0,00	5,61	OK	2,46	2,53	1,34
2L	CG33922	-	-	CG33922	CG33922	TSS9146	2L:1343442-1344171	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	Cdlc2	-	-	Cdlc2	Cdlc2	TSS13115	2L:1344479-1345144	-	-	751,55	701,30	801,79	OK	759,00	755,27	9,56
2L	CG5556	-	-	CG5556	CG5556	TSS14403	2L:1351804-1352869	-	-	177,77	163,75	191,80	OK	176,67	177,22	7,47
2L	CG4896	-	-	CG4896	CG4896	TSS15006,TSS17749	2L:1177705-1182459	-	-	21,36	18,88	23,84	OK	19,60	20,48	4,36
2L	CG5126	-	-	CG5126	CG5126	TSS2542	2L:1182290-1184021	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG5561	-	-	CG5561	CG5561	TSS7310	2L:1352969-1354109	-	-	201,38	184,17	218,59	OK	185,57	193,48	7,60
2L	CG31924	-	-	CG31924	CG31924	TSS3068	2L:1354100-1354919	-	-	87,57	75,15	99,99	OK	108,86	98,22	6,62
2L	CG5565	-	-	CG5565	CG5565	TSS4080	2L:1354910-1355924	-	-	357,72	330,74	384,70	OK	363,40	360,56	8,49
2L	CG31659	-	-	CG31659	CG31659	TSS5156,TSS5159	2L:1358924-1359784	-	-	4,69	1,23	8,15	OK	0,48	2,59	1,37
2L	NLaz	-	-	NLaz	NLaz	TSS4776	2L:1359982-1361732	-	-	109,22	96,64	121,81	OK	88,40	98,81	6,63
2L	CG14346	-	-	CG14346	CG14346	TSS5808	2L:1368101-1369047	-	-	52,63	43,57	61,70	OK	52,57	52,60	5,72
2L	snRNA:U3:22A	-	-	snRNA:U3:22A	snRNA:U3:22A	TSS6385	2L:1432710-1432921	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG31928	-	-	CG31928	CG31928	TSS15782	2L:1492294-1493645	-	-	2,58	1,09	4,08	OK	4,03	3,31	1,73
2L	CG33128	-	-	CG33128	CG33128	TSS14452	2L:1494089-1495456	-	-	0,37	0,00	0,89	OK	0,17	0,27	-1,89
2L	CG31926	-	-	CG31926	CG31926	TSS1129	2L:1495746-1496979	-	-	0,26	0,00	0,79	OK	0,25	0,25	-1,97
2L	CG31661	-	-	CG31661	CG31661	TSS16830	2L:1497253-1498435	-	-	0,00	0,00	0,00	OK	0,24	0,12	-3,04
2L	lea	-	-	lea	lea	TSS6819	2L:1380085-1420449	-	-	3,83	3,08	4,59	OK	3,45	3,64	1,87
2L	CG7420	-	-	CG7420	CG7420	TSS8847	2L:1500834-1502903	-	-	3,36	1,95	4,77	OK	2,60	2,98	1,57
2L	CG18132	-	-	CG18132	CG18132	TSS6166	2L:1516789-1517478	-	-	171,95	152,61	191,30	OK	184,54	178,25	7,48
2L	halo	-	-	halo	halo	TSS6674,TSS8470	2L:1517531-1518184	-	-	0,56	0,00	2,43	OK	1,04	0,80	-0,32
2L	Or22a	-	-	Or22a	Or22a	TSS5259	2L:1520612-1522151	-	-	0,00	0,00	0,00	OK	1,18	0,59	-0,76
2L	Or22b	-	-	Or22b	Or22b	TSS2806	2L:1522690-1524259	-	-	0,00	0,00	0,00	OK	0,00	0,00	Ошибка:512
2L	CG18131	-	-	CG18131	CG18131	TSS12691,TSS15899,TSS2022,TSS7194	2L:1498454-1500760	-	-	196,20	184,36	208,03	OK	200,37	198,28	7,63
2L	CG14352	-	-	CG14352	CG14352	TSS12687	2L:1611420-1612579	-	-	6,65	3,99	9,31	OK	7,90	7,27	2,86
2L	CG14351	-	-	CG14351	CG14351	TSS17167	2L:1555158-1607617	-	-	0,21	0,02	0,39	OK	0,46	0,33	-1,58
2L	CG10869	-	-	CG10869	CG10869	TSS1186,TSS7173	2L:1584863-1587156	-	-	563,81	536,20	591,43	OK	604,44	584,12	9,19
2L	CG31935	-	-	CG31935	CG31935	TSS13756	2L:1595042-1611125	-	-	21,69	19,00	24,38	OK	24,32	23,00	4,52
2L	RFeSP	-	-	RFeSP	RFeSP	TSS17323	2L:1612685-1614182	-	-	95,91	84,57	107,26	OK	93,60	94,76	6,57
2L	cpb	-	-	cpb	cpb	TSS7340	2L:1704903-1706962	-	-	12,98	10,31	15,65	OK	11,10	12,04	3,59
2L	CG17660	-	-	CG17660	CG17660	TSS13509	2L:1707131-1710415	-	-	32,82	29,01	36,62	OK	33,40	33,11	5,05
2L	mRpL48	-	-	mRpL48	mRpL48	TSS7203	2L:1710465-1711466	-	-	7,51	4,21	10,81	OK	9,35	8,43	3,08
2L	frtz	-	-	frtz	frtz	TSS7279	2L:1711298-1715861	-	-	0,54	0,13	0,95	OK	1,33	0,94	-0,09
2L	CG18317	-	-	CG18317	CG18317	TSS11135	2L:1716887-1724391	-	-	6,90	5,05	8,74	OK	6,10	6,50	2,70
